time,Direction,Lead_hours,Source_time,Speed
2024-02-14 06:00:00+00:00,WSW,1,1707883200,8.04672
2024-02-14 09:00:00+00:00,SW,1,1707894000,7.15264
2024-02-14 12:00:00+00:00,SW,1,1707904800,7.15264
2024-02-14 15:00:00+00:00,SW,1,1707915600,3.12928
2024-02-14 21:00:00+00:00,SE,1,1707937200,3.12928
2024-02-15 00:00:00+00:00,ESE,1,1707948000,4.91744
2024-02-15 03:00:00+00:00,ESE,1,1707958800,8.04672
2024-02-15 06:00:00+00:00,E,1,1707969600,8.9408
2024-02-15 09:00:00+00:00,E,1,1707980400,9.83488
2024-02-15 12:00:00+00:00,E,1,1707991200,9.83488
2024-02-15 15:00:00+00:00,E,1,1708002000,7.15264
2024-02-15 21:00:00+00:00,N,1,1708023600,5.81152
2024-02-16 00:00:00+00:00,NNW,1,1708034400,7.15264
2024-02-16 03:00:00+00:00,NNE,1,1708045200,7.15264
2024-02-16 06:00:00+00:00,NNE,1,1708056000,8.9408
2024-02-16 09:00:00+00:00,NNE,1,1708066800,8.9408
2024-02-16 12:00:00+00:00,NNE,1,1708077600,8.04672
2024-02-16 15:00:00+00:00,NNE,1,1708088400,7.15264
2024-02-16 18:00:00+00:00,NE,1,1708099200,5.81152
2024-02-16 21:00:00+00:00,ENE,1,1708110000,4.02336
2024-02-17 00:00:00+00:00,E,1,1708120800,3.12928
2024-02-17 03:00:00+00:00,SE,1,1708131600,4.02336
2024-02-17 06:00:00+00:00,SE,1,1708142400,8.04672
2024-02-17 09:00:00+00:00,SE,1,1708153200,9.83488
2024-02-17 12:00:00+00:00,SSE,1,1708164000,11.176
2024-02-17 15:00:00+00:00,SSE,1,1708174800,11.176
2024-02-17 18:00:00+00:00,SSE,1,1708185600,11.176
2024-02-17 21:00:00+00:00,SSE,1,1708196400,11.176
2024-02-18 00:00:00+00:00,S,1,1708207200,7.15264
2024-02-18 03:00:00+00:00,WSW,1,1708218000,11.176
2024-02-18 06:00:00+00:00,W,1,1708228800,9.83488
2024-02-18 09:00:00+00:00,W,1,1708239600,11.176
2024-02-18 12:00:00+00:00,W,1,1708250400,9.83488
2024-02-18 15:00:00+00:00,W,1,1708261200,11.176
2024-02-18 18:00:00+00:00,W,1,1708272000,8.9408
2024-02-18 21:00:00+00:00,W,1,1708282800,8.04672
2024-02-19 00:00:00+00:00,WSW,1,1708293600,8.04672
2024-02-19 03:00:00+00:00,SSW,1,1708304400,4.91744
2024-02-19 06:00:00+00:00,W,1,1708315200,11.176
2024-02-19 09:00:00+00:00,W,1,1708326000,8.9408
2024-02-19 12:00:00+00:00,WSW,1,1708336800,9.83488
2024-02-19 15:00:00+00:00,WSW,1,1708347600,12.070079999999999
2024-02-19 18:00:00+00:00,W,1,1708358400,8.04672
2024-02-19 21:00:00+00:00,SW,1,1708369200,11.176
2024-02-20 00:00:00+00:00,SW,1,1708380000,11.176
2024-02-20 03:00:00+00:00,SSW,1,1708390800,12.070079999999999
2024-02-20 06:00:00+00:00,SSW,1,1708401600,11.176
2024-02-20 09:00:00+00:00,SW,1,1708412400,11.176
2024-02-20 12:00:00+00:00,WSW,1,1708423200,8.9408
2024-02-20 15:00:00+00:00,SW,1,1708434000,8.9408
2024-02-20 18:00:00+00:00,SW,1,1708444800,4.91744
2024-02-20 21:00:00+00:00,W,1,1708455600,8.04672
2024-02-21 00:00:00+00:00,WSW,1,1708466400,8.9408
2024-02-21 03:00:00+00:00,SW,1,1708477200,7.15264
2024-02-21 06:00:00+00:00,SSE,1,1708488000,9.83488
2024-02-21 09:00:00+00:00,SSE,1,1708498800,12.96416
2024-02-21 12:00:00+00:00,SSE,1,1708509600,16.98752
2024-02-21 15:00:00+00:00,S,1,1708520400,12.96416
2024-02-21 18:00:00+00:00,WSW,1,1708531200,12.96416
2024-02-21 21:00:00+00:00,SW,1,1708542000,17.8816
2024-02-22 00:00:00+00:00,SW,1,1708552800,12.070079999999999
2024-02-22 03:00:00+00:00,S,1,1708563600,9.83488
2024-02-22 06:00:00+00:00,S,1,1708574400,11.176
2024-02-22 09:00:00+00:00,SSW,1,1708585200,8.9408
2024-02-22 12:00:00+00:00,SW,1,1708596000,9.83488
2024-02-22 15:00:00+00:00,WSW,1,1708606800,8.9408
2024-02-22 18:00:00+00:00,WSW,1,1708617600,8.9408
2024-02-22 21:00:00+00:00,WSW,1,1708628400,8.9408
2024-02-23 00:00:00+00:00,S,1,1708639200,3.12928
2024-02-23 03:00:00+00:00,WSW,1,1708650000,4.91744
2024-02-23 06:00:00+00:00,W,1,1708660800,4.02336
2024-02-23 09:00:00+00:00,WSW,1,1708671600,4.91744
2024-02-23 15:00:00+00:00,SW,1,1708693200,4.02336
2024-02-23 18:00:00+00:00,SSW,1,1708704000,8.04672
2024-02-23 21:00:00+00:00,SSW,1,1708714800,7.15264
2024-02-24 00:00:00+00:00,SW,1,1708725600,7.15264
2024-02-24 03:00:00+00:00,WSW,1,1708736400,5.81152
2024-02-24 06:00:00+00:00,NW,1,1708747200,4.02336
2024-02-24 09:00:00+00:00,WNW,1,1708758000,5.81152
2024-02-24 12:00:00+00:00,WSW,1,1708768800,4.91744
2024-02-24 15:00:00+00:00,WNW,1,1708779600,8.04672
2024-02-24 18:00:00+00:00,SSW,1,1708790400,1.78816
2024-02-24 21:00:00+00:00,SW,1,1708801200,4.02336
2024-02-25 00:00:00+00:00,WSW,1,1708812000,8.04672
2024-02-25 03:00:00+00:00,SW,1,1708822800,5.81152
2024-02-25 06:00:00+00:00,WSW,1,1708833600,5.81152
2024-02-25 09:00:00+00:00,WSW,1,1708844400,4.91744
2024-02-25 12:00:00+00:00,WSW,1,1708855200,4.91744
2024-02-25 15:00:00+00:00,NW,1,1708866000,5.81152
2024-02-25 18:00:00+00:00,NNW,1,1708876800,7.15264
2024-02-25 21:00:00+00:00,NNE,1,1708887600,11.176
2024-02-26 00:00:00+00:00,N,1,1708898400,8.04672
2024-02-26 03:00:00+00:00,NNW,1,1708909200,7.15264
2024-02-26 06:00:00+00:00,N,1,1708920000,7.15264
2024-02-26 09:00:00+00:00,NE,1,1708930800,4.02336
2024-02-26 12:00:00+00:00,SSE,1,1708941600,3.12928
2024-02-26 15:00:00+00:00,SSW,1,1708952400,5.81152
2024-02-26 18:00:00+00:00,SSW,1,1708963200,8.9408
2024-02-26 21:00:00+00:00,SSW,1,1708974000,9.83488
2024-02-27 00:00:00+00:00,S,1,1708984800,12.070079999999999
2024-02-27 03:00:00+00:00,S,1,1708995600,13.85824
2024-02-27 06:00:00+00:00,S,1,1709006400,13.85824
2024-02-27 09:00:00+00:00,WSW,1,1709017200,11.176
2024-02-27 12:00:00+00:00,WSW,1,1709028000,12.96416
2024-02-27 15:00:00+00:00,WSW,1,1709038800,15.19936
2024-02-27 18:00:00+00:00,W,1,1709049600,8.9408
2024-02-27 21:00:00+00:00,WSW,1,1709060400,13.85824
2024-02-28 00:00:00+00:00,WSW,1,1709071200,13.85824
2024-02-28 03:00:00+00:00,WSW,1,1709082000,12.070079999999999
2024-02-28 06:00:00+00:00,WSW,1,1709092800,11.176
2024-02-28 09:00:00+00:00,SSW,1,1709103600,8.9408
2024-02-28 12:00:00+00:00,S,1,1709114400,8.9408
2024-02-28 15:00:00+00:00,SSE,1,1709125200,12.070079999999999
2024-02-28 18:00:00+00:00,S,1,1709136000,12.070079999999999
2024-02-28 21:00:00+00:00,S,1,1709146800,12.96416
2024-02-29 00:00:00+00:00,S,1,1709157600,11.176
2024-02-29 03:00:00+00:00,SW,1,1709168400,12.070079999999999
2024-02-29 06:00:00+00:00,SW,1,1709179200,13.85824
2024-02-29 09:00:00+00:00,SSW,1,1709190000,17.8816
2024-02-29 12:00:00+00:00,SSW,1,1709200800,20.1168
2024-02-29 15:00:00+00:00,SW,1,1709211600,19.22272
2024-02-29 18:00:00+00:00,SSW,1,1709222400,15.19936
2024-02-29 21:00:00+00:00,SW,1,1709233200,12.96416
2024-03-01 00:00:00+00:00,SW,1,1709244000,12.070079999999999
2024-03-01 03:00:00+00:00,WSW,1,1709254800,9.83488
2024-03-01 06:00:00+00:00,WSW,1,1709265600,5.81152
2024-03-01 09:00:00+00:00,W,1,1709276400,3.12928
2024-03-01 12:00:00+00:00,WSW,1,1709287200,3.12928
2024-03-01 15:00:00+00:00,SW,1,1709298000,4.91744
2024-03-01 18:00:00+00:00,SSW,1,1709308800,4.02336
2024-03-01 21:00:00+00:00,ESE,1,1709319600,4.02336
2024-03-02 00:00:00+00:00,NE,1,1709330400,4.02336
2024-03-02 03:00:00+00:00,ENE,1,1709341200,4.91744
2024-03-02 06:00:00+00:00,ENE,1,1709352000,8.9408
2024-03-02 09:00:00+00:00,ESE,1,1709362800,5.81152
2024-03-02 12:00:00+00:00,ENE,1,1709373600,15.19936
2024-03-02 15:00:00+00:00,E,1,1709384400,15.19936
2024-03-02 18:00:00+00:00,SSE,1,1709395200,13.85824
2024-03-02 21:00:00+00:00,SE,1,1709406000,11.176
2024-03-03 00:00:00+00:00,ESE,1,1709416800,9.83488
2024-03-03 03:00:00+00:00,E,1,1709427600,12.96416
2024-03-03 06:00:00+00:00,E,1,1709438400,12.070079999999999
2024-03-03 09:00:00+00:00,SE,1,1709449200,12.96416
2024-03-03 12:00:00+00:00,SE,1,1709460000,9.83488
2024-03-03 15:00:00+00:00,SE,1,1709470800,9.83488
2024-03-03 18:00:00+00:00,SSE,1,1709481600,8.04672
2024-03-03 21:00:00+00:00,SSE,1,1709492400,8.9408
2024-03-04 00:00:00+00:00,SSE,1,1709503200,7.15264
2024-03-04 03:00:00+00:00,SSE,1,1709514000,7.15264
2024-03-04 06:00:00+00:00,SE,1,1709524800,8.04672
2024-03-04 09:00:00+00:00,SSE,1,1709535600,5.81152
2024-03-04 12:00:00+00:00,SE,1,1709546400,8.9408
2024-03-04 15:00:00+00:00,ESE,1,1709557200,8.9408
2024-03-04 18:00:00+00:00,SE,1,1709568000,8.04672
2024-03-04 21:00:00+00:00,SE,1,1709578800,8.04672
2024-03-05 00:00:00+00:00,SSE,1,1709589600,8.04672
2024-03-05 03:00:00+00:00,SE,1,1709600400,13.85824
2024-03-05 06:00:00+00:00,SE,1,1709611200,13.85824
2024-03-05 09:00:00+00:00,SE,1,1709622000,16.09344
2024-03-05 12:00:00+00:00,SE,1,1709632800,17.8816
2024-03-05 15:00:00+00:00,SE,1,1709643600,15.19936
2024-03-05 18:00:00+00:00,SE,1,1709654400,15.19936
2024-03-05 21:00:00+00:00,SE,1,1709665200,11.176
2024-03-06 00:00:00+00:00,SE,1,1709676000,11.176
2024-03-06 03:00:00+00:00,SSE,1,1709686800,12.070079999999999
2024-03-06 06:00:00+00:00,SE,1,1709697600,11.176
2024-03-06 09:00:00+00:00,SE,1,1709708400,11.176
2024-03-06 12:00:00+00:00,SE,1,1709719200,9.83488
2024-03-06 15:00:00+00:00,SE,1,1709730000,9.83488
2024-03-06 18:00:00+00:00,SE,1,1709740800,9.83488
2024-03-06 21:00:00+00:00,SSE,1,1709751600,11.176
2024-03-07 00:00:00+00:00,SSE,1,1709762400,11.176
2024-03-07 03:00:00+00:00,SSE,1,1709773200,9.83488
2024-03-07 06:00:00+00:00,SSE,1,1709784000,8.9408
